Intrinio_source_vendor_name,match,Nasdaq_source_vendor_name
Advanced Micro Devices Inc,/m/0z64,THE AMD PARTNERSHIP LTD 
BROADVIEW NETWORKS HOLDINGS INC,/m/0gdn6g,BROADVIEW NETWORKS 
EMC Corp,/m/02khrk,EMC CORPORATION 
Equinix Inc,/m/07btnq,EQUINIX INC  
Level 3 Communications Inc,/m/061c4p,LEVEL 3 COMMUNICATIONS 
U S WIRELESS CORP,/m/09c7w0,US CHAMBER OF COMMERCE 
U S WIRELESS CORP,/m/09c7w0,U S  ASSOCIATION OF FORMER MEMBERS OF 
U S WIRELESS CORP,/m/09c7w0,AMERICAN OFFICE OF GAITHERSBURG INC 
U S WIRELESS CORP,/m/09c7w0,US Disbursing Officer Symbol 8769 
BRITISH TELECOMMUNICATIONS PLC,/m/01g_3,British Telecommunications Plc 
ABB LTD,/m/01bs_z,ABB GROUP 
Apptio Inc,/m/0100lkxx,APPTIO INC 
DOCUSIGN INC,/m/0cp08cw,DOCUSIGN INC 
MongoDB Inc,/m/0gyv7_f,MONGODB INC 
PITNEY BOWES INC,/m/06dkr2,PITNEY BOWES GLOBAL 
PITNEY BOWES INC,/m/06dkr2,Pitney Bowes Svenska AB 
PITNEY BOWES INC,/m/06dkr2,PITNEY BOWES CANADA 
PITNEY BOWES INC,/m/06dkr2,PITNEY BOWES INC 
Pivotal Software Inc,/m/0w1fyfw,PIVOTAL SOFTWARE INC 
AT&T LATIN AMERICA CORP,/m/08z129,AT&T 
AT&T LATIN AMERICA CORP,/m/08z129,AT&T WORLDWIDE TELECOMMUNICATIONS SERVIC 
AT&T LATIN AMERICA CORP,/m/08z129,AT&T Global Network Services Nederland B 
TELENOR ASA,/m/0j89k,Telenor A  S 
TELENOR ASA,/m/0j89k,Telenor Mobil AS 
TELENOR ASA,/m/0j89k,Telenor 
TELIASONERA AB,/m/07cxn,Telia Lietuva AB 
TELSTRA CORP LTD,/m/07rnx,Telstra Corporation Limited 
VODAFONE GROUP PUBLIC LTD CO,/m/02d6ph,Vodafone 
VODAFONE GROUP PUBLIC LTD CO,/m/02d6ph,Vodafone Ltd  
AKAMAI TECHNOLOGIES,/m/02fqbt,AKAMAI TECHNOLOGIES INC  
COMPUGEN INC,/m/04y6n4g,COMPUGEN INC  
SALESFORCE.COM,/m/07btr5,SALESFORCE COM 
COGNIZANT,/m/03bf9h,COGNIZANT TECHNOLOGY 
DATAWATCH,/m/011smmbb,Datawatch Corp 
EATON CORPORATION,/m/01qj3l,EATON CORPORATION 
GODADDY.COM,/m/03zjn4,GODADDY COM 
IBM,/m/03sc8,IBM Service AV System 
IBM,/m/03sc8,IBM CORPORATION 
ORACLE AMERICA INC,/g/11c1x5nw2q,ORACLE AMERICA INC  
QLIK TECH INC,/m/0bqs19,QLIK TECHNOLOGIES INC 
SOLARWINDS,/m/0404fs4,SOLARWINDS INC 
SYMANTEC CORPORATION,/m/01zpmq,SYMANTEC CORPORATION 
MONOTYPE IMAGING INC,/m/03p3pwx,MONOTYPE IMAGING INC 
